Rank,Major,Early Career Pay,Mid-Career Pay,High Meaning Pay
399,Management,"$49,000","$81,600",48%
400,Geographic Information Systems (GIS),"$47,100","$81,500",53%
400,Interactive Media Design,"$51,800","$81,500",40%
402,Architectural Studies,"$43,100","$81,400",42%
403,Business Administration & Accounting,"$50,300","$81,300",53%
403,Industrial Arts,"$46,500","$81,300",65%
405,Textile Design,"$47,400","$81,200",40%
406,Textile & Apparel Studies,"$43,800","$81,100",28%
407,Accounting & Management,"$49,700","$81,000",53%
408,Nursing Science,"$63,700","$80,900",84%
409,Business Management,"$48,800","$80,800",50%
409,Linguistics,"$49,300","$80,800",45%
411,Agronomy,"$49,100","$80,700",64%
411,Corporate Communications,"$45,300","$80,700",41%
411,Neuroscience,"$47,800","$80,700",59%
414,Communication Studies & Journalism,"$42,500","$80,600",49%
415,Sociology & Organizational Studies,"$48,200","$80,500",54%
416,Nursing,"$61,700","$80,400",84%
417,Toxicology,"$43,800","$80,300",-
417,History,"$45,300","$80,300",46%
417,Agricultural Science,"$46,900","$80,300",57%
420,Biology,"$44,500","$80,200",65%
420,Crop Science,"$45,200","$80,200",67%
420,French Language,"$46,600","$80,200",48%
423,Environmental Studies,"$45,900","$80,100",59%
423,Management (MGT),"$44,800","$80,100",57%
425,Communication,"$45,300","$79,900",45%
426,General & Strategic Management,"$48,900","$79,800",53%
426,Merchandising Management,"$44,200","$79,800",35%
428,Dental Hygiene,"$70,400","$79,600",79%
428,Hydrology,"$45,300","$79,600",-
430,Global Business,"$53,200","$79,500",37%
430,Retail & Consumer Science,"$48,500","$79,500",34%
430,Literature,"$44,400","$79,500",44%
433,Emergency Management,"$49,600","$79,400",78%
433,Interpersonal & Organizational Communication,"$40,300","$79,400",56%
433,Nuclear Medicine,"$57,800","$79,400",84%
436,History & Political Science,"$48,400","$79,300",51%
437,Retail Merchandising,"$48,000","$79,200",33%
438,Agriculture,"$45,300","$79,100",61%
438,Environmental Management,"$47,300","$79,100",61%
438,Professional & Technical Writing,"$46,000","$79,100",46%
441,International Development Studies,"$45,500","$79,000",64%
441,Workforce Education & Development,"$57,100","$79,000",74%
441,Journalism & Mass Communication,"$43,700","$79,000",45%
444,Pre-Medicine,"$48,400","$78,900",65%
445,Bachelor in Science Nursing,"$61,000","$78,800",81%
445,Network Technology,"$54,900","$78,800",57%
447,Theatre & Drama Studies,"$41,500","$78,600",49%
448,Law,"$51,900","$78,500",51%
449,Law Enforcement,"$43,800","$78,400",57%
449,Printing Technology,"$43,800","$78,400",-
449,Public Relations & Communication,"$43,600","$78,400",46%
452,Foreign Languages,"$47,800","$78,300",57%
452,Interior Architecture,"$45,100","$78,300",47%
452,Marine Science,"$44,000","$78,300",58%
452,Public Management,"$47,800","$78,300",60%
452,Web Development,"$54,100","$78,300",53%
457,Journalism,"$43,500","$78,200",45%
457,Landscape Architecture,"$49,000","$78,200",67%
457,Environmental Geography,"$47,100","$78,200",52%
460,Bachelor of Science in Nursing,"$60,700","$78,100",83%
461,Digital Media,"$44,500","$78,000",39%
461,Welding Technology,"$46,100","$78,000",-
463,Nutrition Science,"$45,900","$77,800",67%
464,Accounting & Business,"$49,400","$77,600",49%
464,Diagnostic Medical Sonography,"$62,200","$77,600",85%
466,American History (United States),"$47,800","$77,500",55%
466,Strategic Communication,"$44,600","$77,500",42%
468,Public Relations (PR),"$43,000","$77,400",43%
469,Natural Sciences,"$41,700","$77,300",51%
470,International Affairs,"$49,100","$77,200",53%
470,Drama,"$43,900","$77,200",46%
470,Network Administration,"$46,900","$77,200",55%
473,Media Studies,"$48,300","$77,100",36%
474,Organizational Development,"$51,600","$77,000",52%
474,Writing,"$41,800","$77,000",43%
476,Integrated Marketing Communications,"$44,600","$76,900",34%
477,Crisis & Emergency Management,"$46,600","$76,800",77%
477,Organizational Communication,"$44,000","$76,800",49%
477,Retailing,"$48,900","$76,800",27%
477,Speech Communication,"$43,900","$76,800",55%
481,Allied Health,"$41,800","$76,700",79%
481,Environmental Biology,"$43,000","$76,700",66%
481,Nuclear Medicine Technology,"$58,900","$76,700",81%
484,Apparel & Textile Manufacture,"$45,700","$76,600",36%
485,Technology Management,"$53,900","$76,500",45%
486,Film Production,"$42,700","$76,400",32%
486,Security Management,"$44,800","$76,400",-
488,Acting,"$42,200","$76,200",48%
488,Broadcast & Cinematic Arts,"$41,900","$76,200",41%
488,Business Management & Administration,"$48,600","$76,200",53%
488,Marine Biology,"$40,800","$76,200",61%
488,Professional Studies,"$42,100","$76,200",64%
488,Romance Languages,"$50,300","$76,200",54%
494,Computer Animation,"$44,500","$76,100",31%
495,Cytotechnology,"$58,100","$76,000",90%
495,Broadcast Journalism,"$41,100","$76,000",49%
495,Geography,"$46,900","$76,000",52%
498,Journalism & Electronic Media,"$42,100","$75,900",50%
499,Automotive Technology,"$45,800","$75,800",46%
499,Interpersonal Communications,"$43,100","$75,800",48%
501,Law & Society,"$44,400","$75,700",50%
502,Agricultural Business,"$50,300","$75,600",50%
502,Ancient History,"$43,900","$75,600",-
504,Computer Aided Design (CAD),"$46,500","$75,500",-
504,Computer Art,"$41,200","$75,500",30%
506,Administration,"$43,100","$75,400",56%
506,Forestry,"$44,700","$75,400",66%
508,Urban Studies,"$48,600","$75,300",56%
509,Business Law,"$51,100","$75,100",44%
510,Radio/Television & Film Production,"$42,800","$75,000",39%
511,Digital Design,"$48,200","$74,800",38%
511,Forensic Science,"$43,800","$74,800",62%
511,Geosciences,"$46,600","$74,800",63%
511,Logistics Management,"$52,800","$74,800",47%
515,Ecology,"$43,500","$74,700",53%
515,English & History,"$43,600","$74,700",48%
515,English Language & Literature,"$43,900","$74,700",44%
518,American Sign Language Interpreting,"$42,500","$74,600",85%
518,Homeland Security,"$46,800","$74,600",71%
518,Zoology,"$40,300","$74,600",67%
521,English Language,"$42,100","$74,500",47%
522,Human Resources Management (HRM),"$45,300","$74,400",55%
523,Technical Writing,"$52,000","$74,300",45%
523,Automotive Technology & Service Management,"$45,400","$74,300",36%
525,Business Technology,"$49,800","$74,100",45%
525,Mass Communication,"$42,700","$74,100",44%
527,Health Sciences,"$42,400","$74,000",70%
527,Organizational Leadership,"$47,400","$74,000",56%
529,Musicology,"$38,100","$73,900",-
530,Spanish Language,"$44,900","$73,600",53%
531,Historic Preservation,"$41,300","$73,500",52%
531,Music Technology,"$42,900","$73,500",38%
531,Organizational Leadership & Supervision,"$46,400","$73,500",50%
534,Human Nutrition,"$45,500","$73,400",84%
534,Spanish Language Teacher Education,"$43,900","$73,400",-
536,Botany,"$40,300","$73,300",72%
537,Apparel Merchandising,"$45,400","$73,200",35%
538,Environmental Health Science,"$51,400","$73,100",64%
538,Media & Technology,"$41,400","$73,100",48%
538,Public Administration,"$44,200","$73,100",58%
541,Liberal Arts,"$42,500","$73,000",53%
541,Merchandising,"$50,500","$73,000",30%
543,Environmental Resource Management,"$45,700","$72,900",62%
544,Computer Aided Drafting & Design (CADD),"$46,800","$72,800",54%
544,Forestry Management,"$44,300","$72,800",73%
546,German Language & Literature,"$46,100","$72,700",48%
546,Electronics & Computer Technology,"$51,700","$72,700",-
548,Administrative Management,"$50,100","$72,600",50%
548,Cardiopulmonary Science,"$45,800","$72,600",89%
550,3D Animation,"$49,400","$72,500",44%
551,Ethnic Studies,"$44,900","$72,300",62%
552,Adult Education & Training,"$46,200","$72,200",79%
552,Health Administration,"$40,700","$72,200",69%
554,Agricultural Communication,"$42,600","$72,100",51%
554,Organizational Management,"$46,900","$72,100",57%
556,Multimedia,"$42,800","$72,000",42%
557,Communication Design,"$48,700","$71,900",34%
558,Radiologic Science,"$54,900","$71,800",81%
559,Exercise Physiology,"$41,600","$71,700",78%
560,Criminal Justice Administration,"$43,700","$71,600",55%
561,Natural Resource Management,"$43,800","$71,500",60%
562,Diagnostic Medical Imaging,"$57,900","$71,400",74%
562,Earth Science,"$48,200","$71,400",50%
562,Hotel & Restaurant Management,"$44,600","$71,400",48%
565,Radiology,"$51,600","$71,300",84%
566,Art History,"$44,400","$71,200",46%
566,Hospital Management,"$48,500","$71,200",34%
566,Retail Management,"$45,700","$71,200",37%
569,English & Psychology,"$41,100","$71,100",47%
569,Human Resources (HR),"$44,800","$71,100",54%
569,Management & Organization,"$53,900","$71,100",68%
569,Painting & Printmaking,"$32,800","$71,100",41%
569,Visual Effects & Motion Graphics,"$47,400","$71,100",43%
574,Medical Laboratory Technology,"$54,100","$71,000",82%
574,Fashion Merchandising,"$44,100","$71,000",30%
576,Multimedia & Web Design,"$47,500","$70,900",34%
577,Advertising & Graphic Design,"$44,600","$70,800",37%
577,Anthropology,"$43,500","$70,800",46%
577,Broadcast Communication,"$37,900","$70,800",48%
577,Communication Management,"$42,500","$70,800",37%
577,Health Care Administration,"$43,600","$70,800",70%
582,Natural Resources,"$44,900","$70,700",66%
582,Psychology,"$42,000","$70,700",56%
582,Visual Communications,"$43,000","$70,700",37%
585,Applied Behavior Analysis,"$36,900","$70,600",-
585,Travel Industry Management,"$51,800","$70,600",-
587,Humanities,"$43,800","$70,500",48%
587,Sociology & Anthropology,"$41,900","$70,500",48%
587,Communication Arts,"$40,400","$70,500",41%
590,Creative Writing,"$42,800","$70,400",43%
591,Anthropology & English,"$44,900","$70,300",58%
591,Modern Languages,"$48,600","$70,300",52%
593,Health Care Management,"$44,000","$70,200",71%
593,Health Teacher Education,"$35,500","$70,200",52%
593,Radiologic Technology,"$52,100","$70,200",82%
596,Health & Fitness,"$38,000","$70,100",67%
597,Animal Science & Management,"$42,100","$70,000",54%
597,Criminology,"$42,400","$70,000",54%
597,Hospitality Management,"$43,600","$70,000",43%
597,Art Administration,"$36,800","$70,000",58%
597,Human Relations,"$41,100","$70,000",62%
602,Health Information Management,"$46,200","$69,900",69%
602,Medical Laboratory Science,"$53,000","$69,900",84%
604,Liberal Studies,"$42,300","$69,800",57%
604,Secondary & Middle School Mathematics Teacher Education,"$43,100","$69,800",71%
606,Fashion Design & Marketing,"$42,200","$69,700",39%
607,Art & Design,"$42,400","$69,600",39%
607,Physical Anthropology,"$49,300","$69,600",39%
607,Sports Management,"$42,900","$69,600",43%
610,Life Sciences,"$51,900","$69,400",59%
611,Respiratory Care,"$52,300","$69,200",84%
612,Audio Engineering,"$45,900","$69,100",37%
612,Social & Criminal Justice,"$42,300","$69,100",58%
614,Child Psychology,"$37,100","$68,900",64%
614,Interior Design,"$42,400","$68,900",50%
614,Small Business Management,"$43,900","$68,900",40%
614,Turfgrass Management,"$47,700","$68,900",49%
618,Medical Technology,"$53,300","$68,800",80%
618,Religious Studies,"$41,000","$68,800",57%
620,Hotel & Restaurant Tourism,"$42,500","$68,700",46%
621,Sociology,"$43,700","$68,600",54%
622,Arts & Science,"$43,900","$68,500",68%
622,Secondary Education,"$42,700","$68,500",62%
622,Speech Pathology & Audiology,"$41,500","$68,500",77%
625,Theater,"$42,400","$68,400",48%
626,Archaeology,"$43,900","$68,300",45%
626,Illustration,"$42,900","$68,300",36%
626,Radiography,"$52,700","$68,300",82%
629,Media Arts,"$44,000","$68,200",39%
630,Clinical Laboratory Science,"$52,400","$68,100",83%
630,Graphics Technology & Management,"$38,800","$68,100",36%
630,Psychology & Social Behavior,"$44,100","$68,100",56%
633,Health Management,"$42,000","$68,000",68%
633,Media Communication,"$44,300","$68,000",42%
635,Mass Media,"$38,100","$67,900",46%
635,Nutrition,"$45,100","$67,900",68%
637,Performing Arts,"$42,900","$67,800",52%
638,SocialStudies,"$43,700","$67,700",57%
639,Italian Language,"$47,800","$67,600",40%
640,Social Studies,"$44,100","$67,500",61%
641,Commercial Photography,"$42,000","$67,300",23%
642,Radio & Television,"$40,800","$67,200",40%
642,Respiratory Therapy,"$52,300","$67,200",82%
644,Art Therapy,"$39,200","$67,100",81%
644,Biological Anthropology,"$41,900","$67,100",44%
646,Drafting & Design,"$48,900","$66,800",59%
646,Geomatics,"$49,000","$66,800",65%
648,Clinical Nutrition,"$47,600","$66,700",73%
648,Horticulture & Agronomy,"$46,400","$66,700",58%
650,Graphic Communication,"$44,700","$66,600",29%
650,Plant Sciences,"$45,800","$66,600",60%
650,Kinesiology,"$42,100","$66,600",66%
650,Fire Science,"$47,200","$66,600",71%
654,Fashion Marketing & Management,"$45,200","$66,500",30%
654,Music,"$41,800","$66,500",54%
654,Nutrition & Dietetics,"$48,500","$66,500",72%
657,Health,"$41,900","$66,400",73%
657,Legal Studies,"$44,400","$66,400",49%
659,Criminal Justice,"$40,600","$66,300",56%
659,Wildlife & Fisheries Science,"$38,300","$66,300",59%
661,Forensic Psychology,"$40,800","$66,200",52%
662,Graphic Design,"$42,600","$65,800",37%
663,Dramatic Art,"$38,900","$65,700",-
664,Hospitality & Tourism,"$41,500","$65,600",41%
664,Religion,"$41,100","$65,600",62%
664,Pre-Veterinary Medicine,"$37,600","$65,600",72%
667,Sports Medicine,"$45,700","$65,400",74%
667,Women's Studies,"$42,700","$65,400",59%
669,Fine Arts,"$40,400","$65,300",45%
669,Public Health (PH),"$43,400","$65,300",70%
671,Modern Language Spanish,"$41,100","$65,200",51%
671,Museum Studies,"$37,600","$65,200",47%
673,Business Leadership,"$47,700","$65,100",46%
673,Dietetics,"$48,700","$65,100",75%
673,Forensic Accounting,"$44,200","$65,100",39%
673,Landscape Management,"$49,300","$65,100",-
673,Speech-Language Pathology,"$41,700","$65,100",70%
678,Animal Science,"$39,000","$64,900",64%
678,Family & Consumer Science,"$40,500","$64,900",57%
680,Drawing & Painting,"$40,600","$64,500",48%
680,Music Industry,"$44,400","$64,500",38%
680,Technical Theatre,"$39,100","$64,500",41%
683,Foods & Nutrition,"$45,000","$64,400",70%
683,Physical Therapist Assistant Studies,"$49,100","$64,400",85%
683,Recreation Management,"$40,300","$64,400",58%
686,Interdisciplinary Studies (IS),"$42,200","$64,200",56%
687,Education,"$41,800","$64,100",67%
688,Applied Linguistics,"$44,100","$64,000",40%
689,Applied Sociology,"$40,100","$63,800",57%
689,Business & Healthcare Management,"$44,700","$63,800",67%
691,Music Composition,"$42,300","$63,700",51%
691,Physical Education & Exercise Science,"$41,000","$63,700",78%
693,Behavioral Science,"$40,400","$63,500",61%
694,Psychology & Sociology,"$40,600","$63,400",52%
695,General Studies,"$41,200","$63,300",53%
696,Culinary Arts & Culinary Management,"$36,100","$63,200",51%
696,Theatre Arts,"$40,900","$63,200",49%
698,Technology Teacher Education,"$46,400","$63,100",47%
699,Art,"$40,600","$63,000",46%
699,Textiles & Clothing,"$42,900","$63,000",46%
701,Video Production,"$42,800","$62,800",38%
702,Training and Development,"$50,200","$62,500",-
703,Theology,"$39,300","$62,300",69%
703,Restaurant & Food Service Management,"$41,500","$62,300",45%
705,Missions,"$41,400","$62,200",-
706,Event Management,"$39,500","$62,100",42%
707,Clinical Psychology,"$40,900","$62,000",66%
707,Developmental Psychology,"$31,000","$62,000",-
707,Physical Education Teaching,"$39,600","$62,000",71%
707,Theatre,"$39,700","$62,000",48%
711,Sports Administration,"$41,200","$61,900",53%
712,Drawing,"$36,400","$61,800",35%
712,Health & Exercise Science,"$40,100","$61,800",67%
714,Agricultural Teacher Education,"$51,000","$61,700",53%
715,Graphic Arts,"$41,100","$61,600",39%
715,New Media,"$44,700","$61,600",32%
717,Health Services Administration,"$40,800","$61,500",64%
718,Interior Design & Merchandising,"$40,800","$61,400",38%
719,Exercise Science,"$38,900","$61,300",73%
720,Electronic Media,"$43,700","$61,200",38%
720,Exercise & Sports Science,"$40,400","$61,200",70%
720,Psychiatry,"$54,700","$61,200",-
720,Supervision & Management,"$39,400","$61,200",57%
724,African American & African Studies,"$43,600","$61,100",61%
725,Culture Studies,"$44,800","$61,000",41%
725,Printmaking,"$36,800","$61,000",41%
725,Secondary English Teacher Education,"$40,000","$61,000",67%
728,Community Health Education,"$40,200","$60,900",75%
728,Culinary Arts,"$36,700","$60,900",46%
730,Wildlife Management,"$37,800","$60,800",49%
730,Psychology & Philosophy,"$45,400","$60,800",40%
732,Mortuary Science,"$40,600","$60,700",81%
733,Paralegal Studies,"$37,700","$60,600",51%
734,Health Studies,"$40,600","$60,500",65%
734,Social Psychology,"$44,400","$60,500",55%
736,Health Services Management,"$39,300","$60,400",83%
737,Emergency Medical Services (EMS),"$41,600","$60,300",-
737,Recording Arts,"$40,500","$60,300",44%
739,English Teacher Education,"$41,300","$60,200",56%
739,Social Science Teacher Education,"$42,100","$60,200",-
739,Social Studies Teacher Education,"$42,400","$60,200",65%
742,Music Teacher Education,"$39,100","$60,000",66%
742,Photography,"$41,500","$60,000",38%
744,Teaching English as a Second Language (ESL),"$41,600","$59,900",75%
744,Health & Physical Education Teaching,"$37,000","$59,900",64%
746,Human Development,"$40,700","$59,700",65%
746,Painting,"$38,700","$59,700",44%
746,Radio Broadcasting,"$43,200","$59,700",-
746,Recreational Studies,"$40,500","$59,700",68%
750,Speech Pathology,"$40,500","$59,500",70%
751,Recreation Administration,"$45,000","$59,400",70%
752,Dance,"$42,600","$59,200",61%
753,Recreation & Leisure Studies,"$38,800","$59,100",63%
754,Arts Management,"$37,400","$59,000",44%
754,University Studies,"$40,000","$59,000",51%
754,Photojournalism,"$39,700","$59,000",66%
757,Organizational Administration,"$42,900","$58,900",-
758,Health & Medical Services Administration,"$37,900","$58,800",83%
758,Tourism Management,"$40,600","$58,800",38%
758,Communicative Disorders,"$45,200","$58,800",73%
761,Sculpture,"$38,400","$58,700",44%
762,Consumer Affairs,"$49,200","$58,600",48%
762,Social Services,"$38,000","$58,600",80%
764,Community Health,"$42,900","$58,500",69%
764,Justice Studies,"$43,300","$58,500",50%
764,Landscape Design,"$48,900","$58,500",65%
767,Horticulture,"$41,300","$57,800",60%
767,Wildlife Biology,"$41,000","$57,800",59%
769,Gender Studies,"$43,100","$57,700",55%
770,Nonprofit Management,"$40,400","$57,200",77%
771,Athletic Training,"$39,700","$57,000",76%
772,Human Development & Family Studies,"$38,300","$56,800",66%
773,Biblical Studies,"$38,700","$56,700",73%
773,Health Promotion,"$40,000","$56,700",69%
775,Home Economics,"$38,200","$56,500",65%
775,Theatre Studies,"$43,100","$56,500",51%
777,Teaching,"$39,600","$56,400",72%
778,Counseling Psychology,"$39,200","$56,200",65%
778,Health & Human Performance,"$36,200","$56,200",69%
780,Library & Information Science,"$44,700","$56,000",54%
781,Art Teacher Education,"$37,500","$55,900",62%
781,Hospitality & The Culinary Arts,"$37,400","$55,900",-
781,Musical Theatre,"$41,800","$55,900",46%
784,Clinical Social Work (CSW),"$41,700","$55,800",-
785,Biblical Studies & Practical Ministries,"$35,100","$55,700",78%
785,Rehabilitation Services,"$34,100","$55,700",79%
787,Parks & Recreation Management,"$40,600","$55,600",57%
787,Pastoral Ministry,"$37,300","$55,600",84%
789,Legal Assistant Studies,"$36,400","$55,500",39%
790,Applied Management,"$43,600","$55,400",-
791,Social Welfare,"$44,900","$55,300",71%
791,Tourism & Travel,"$40,600","$55,300",40%
791,Vocal Performance,"$38,900","$55,300",65%
794,Audio Production,"$43,700","$54,700",37%
794,Bible Studies & Theology,"$38,100","$54,700",66%
796,Church Ministries,"$38,100","$54,600",82%
797,Family Studies,"$35,900","$54,500",71%
797,Special Education,"$39,200","$54,500",78%
799,Ceramics,"$39,900","$54,400",48%
799,Communication Sciences & Disorders,"$40,900","$54,400",76%
799,Family & Community Services,"$38,500","$54,400",74%
802,Speech & Hearing,"$41,400","$54,300",79%
803,Community Development,"$42,100","$53,900",65%
804,Health and Human Services,"$41,500","$53,700",66%
805,Office Management,"$37,800","$53,400",50%
806,Psychology & Human Services,"$35,000","$53,300",78%
807,History Teacher Education,"$45,400","$53,000",45%
808,Youth Ministry,"$35,300","$52,300",82%
808,Therapeutic Recreation,"$37,700","$52,300",82%
810,Community & Human Services,"$40,500","$52,100",78%
811,Christian Ministry,"$35,500","$52,000",80%
812,Elementary Education,"$37,700","$51,600",71%
812,Social Work (SW),"$36,600","$51,600",77%
814,Office Administration,"$38,200","$51,200",61%
815,Voice & Opera,"$32,900","$50,800",61%
816,Elementary Teaching,"$34,400","$50,700",76%
816,Human Services (HS),"$36,600","$50,700",70%
818,Baking & Pastry Arts,"$36,000","$50,600",47%
819,Human Services Management,"$43,500","$50,500",-
820,Counseling,"$37,100","$49,300",78%
821,Recreational Therapy,"$36,400","$49,200",82%
822,Child Development,"$35,500","$49,100",76%
823,Middle School Education,"$39,000","$48,300",73%
824,Educational Psychology,"$34,600","$47,600",-
825,Early Childhood & Elementary Education,"$36,200","$46,500",78%
